,Constituency,Name,Party,Picture
115,NA-120Sheikhupura-II,Rana Tanveer Hussain,PML-N,Profile
116,NA-121Sheikhupura-III,Mian Javed Latif,PML-N,Profile
117,NA-122Sheikhupura-IV,Sardar Muhammad Irfan Dogar,PML-N,Profile
118,NA-123Lahore-I,Mr. Muhammad Riaz,PML-N,Profile
119,NA-124Lahore-II,Mr. Shahid Khaqan Abbasi,PML-N,Profile
120,NA-125Lahore-III,Mr. Waheed Alam Khan,PML-N,Profile
121,NA-126Lahore-IV,Mr. Muhammad Hammad Azhar,PTI,Profile
122,NA-127Lahore-V,Mr. Ali Pervaiz,PML-N,Profile
123,NA-128Lahore-VI,Sheikh Rohale Asghar,PML-N,Profile
124,NA-129Lahore-VII,Sardar Ayaz Sadiq,PML-N,Profile
125,NA-130Lahore-VIII,Mr. Shafqat Mahmood,PTI,Profile
126,NA-131Lahore-IX,Khawaja Saad Rafique,PML-N,Profile
127,NA-132Lahore-X,"Mian Muhammad Shehbaz Sharif, Prime Minister Islamic Republic of Pakistan",PML-N,Profile
128,NA-133Lahore-XI,Ms. Shaista Pervaiz Malik,PML-N,Profile
129,NA-134Lahore-XII,Rana Mubashir Iqbal,PML-N,Profile
130,NA-135Lahore-XIII,Malik Karamat Ali Khokhar,PTI,Profile
131,NA-136Lahore-XIV,Mr. Muhammad Afzal Khokhar,PML-N,Profile
132,NA-137Kasur-I,Mr. Saad Waseem,PML-N,Profile
133,NA-138Kasur-II,Mr. Rasheed Ahmad Khan,PML-N,Profile
134,NA-139Kasur-III,Rana Muhammad Ishaq Khan,PML-N,Profile
135,NA-140Kasur-IV,Sardar Talib Hassan Nakai,PTI,Profile
136,NA-141Okara-I,Mr. Nadeem Abbas,PML-N,Profile
137,NA-142Okara-II,Mr. Riaz Ul Haq,PML-N,Profile
138,NA-143Okara-III,Rao Muhammad Ajmal Khan,PML-N,Profile
139,NA-144Okara-IV,Mr. Muhammad Mueen Wattoo,PML-N,Profile
140,NA-145Pakpattan-I,Mr. Ahmad Raza Maneka,PML-N,Profile
141,NA-146Pakpattan-II,Rana Iradat Sharif Khan,PML-N,Profile
142,NA-147Sahiwal-I,Syed Imran Ahmad Shah,PML-N,Profile
143,NA-148Sahiwal-II,Chaudry Muhammad Ashraf,PML-N,Profile
144,NA-149Sahiwal-III,Mr. Rai Muhammad Murtaza Iqbal,PTI,Profile
145,NA-150Khanewal-I,Syed Fakhar Imam,PTI,Profile
146,NA-151Khanewal-II,Mr. Muhammad Khan Daha,PML-N,Profile
147,NA-152Khanewal-III,Mr. Zahoor Hussain Qureshi,PTI,Profile
148,NA-153Khanewal-IV,Chaudhry Iftikhar Nazir,PML-N,Profile
149,NA-154Multan-I,Mr. Ahmed Hussain Deharr,PTI,Profile
150,NA-155Multan-II,Malik Muhammad Amir Dogar,PTI,Profile
151,NA-156Multan-III,Makhdoom Shah Mahmood Hussain Qureshi,PTI,Profile
152,NA-158Multan-V,Mr. Muhammad Ibrahim Khan,PTI,Profile
153,NA-159Multan-VI,Rana Muhammad Qasim Noon,PTI,Profile
154,NA-160Lodhran-I,Mr. Abdul Rehman Khan Kanju,PML-N,Profile
155,NA-161Lodhran-II,Mian Muhammad Shafiq,PTI,Profile
156,NA-162Vehari-I,Choudhary Faqir Ahmad,PML-N,Profile
157,NA-163Vehari-II,Mr. Sajid Mehdi,PML-N,Profile
158,NA-164Vehari-III,Mr. Tahir Iqbal,PTI,Profile
159,NA-165Vehari-IV,Mr. Aurangzeb Khan Khichi,PTI,Profile
160,NA-166Bahawalnagar-I,Mr. Muhammad Abdul Ghafar Wattoo,PTI,Profile
161,NA-167 Bahawalnagar-II,Mr. Alam Dad Laleka,PML-N,Profile
162,NA-168 Bahawalnagar-III,Mr. Ehsan Ul Haq Bajwa,PML-N,Profile
